NO,조사구분,조사구역,시료채취일,시료구분,심도,깊이,토지이용도,지목,원래지목,지점명,시료명,"Cd
(mg/kg)","Cu
(mg/kg)","As
(mg/kg)","Hg
(mg/kg)","Pb
(mg/kg)","Cr6+
(mg/kg)","Zn
(mg/kg)","Ni
(mg/kg)","F
(mg/kg)","유기인화합물
(mg/kg)","PCBs
(mg/kg)","CN
(mg/kg)","Phenol
(mg/kg)","Pentachlorophenol
(mg/kg)","Benzene
(mg/kg)","Toluene
(mg/kg)","Ethylbenzene
(mg/kg)","Xylene
(mg/kg)","TPH
(mg/kg)","TCE
(mg/kg)","PCE
(mg/kg)","1,2DCA
(mg/kg)","BaP
(mg/kg)",Dioxin,pH
1,A,울산울주,2025.10.15,최초,1,0-0.15,법정지목,1지역,2지역,UJS-A001,UJS-A001-01,0,10.3,5.01,0,11,0,56.8,20.4,,,,,,,,,,,,,,,,,
2,A,울산울주,2025.10.15,최초,1,0-0.15,법정지목,1지역,1지역,UJS-A011,UJS-A011-01,0,14.9,7.24,0,24.1,0,145.7,17.9,,,,,,,,,,,,,,,,,
3,A,울산울주,2025.10.15,최초,1,0-0.15,법정지목,1지역,2지역,UJS-A014,UJS-A014-01,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,
4,A,울산울주,2025.10.15,최초,1,0-0.15,법정지목,1지역,2지역,UJS-A021,UJS-A021-01,,,,,,,,,,,0,,,,,,,,,,,,,,
5,A,울산울주,2025.10.15,최초,1,0-0.15,법정지목,1지역,2지역,UJS-A022,UJS-A022-01,,,,,,,,,,,,,,s,0,0,0,0,0,,,,,,
6,A,울산울주,2025.10.15,최초,1,0-0.15,법정지목,1지역,2지역,UJS-A028,UJS-A028-01,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,
7,A,울산울주,2025.10.15,최초,1,0-0.15,법정지목,1지역,2지역,UJS-A029,UJS-A029-01,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,
8,A,울산울주,2025.10.15,최초,1,0-0.15,법정지목,1지역,2지역,UJS-A030,UJS-A030-01,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,
9,A,울산울주,2025.10.15,최초,1,0-0.15,법정지목,1지역,2지역,UJS-A031,UJS-A031-01,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,
10,A,울산울주,2025.10.15,최초,1,0-0.15,법정지목,1지역,2지역,UJS-A032,UJS-A032-01,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,
11,A,울산울주,2025.10.15,최초,1,0-0.15,법정지목,1지역,2지역,UJS-A033,UJS-A033-01,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,
12,A,울산울주,2025.10.15,최초,1,0-0.15,법정지목,1지역,2지역,UJS-A034,UJS-A034-01,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,
13,A,울산울주,2025.10.15,최초,1,0-0.15,법정지목,1지역,2지역,UJS-A036,UJS-A036-01,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,
14,A,울산울주,2025.10.15,최초,1,0-0.15,법정지목,1지역,2지역,UJS-A037,UJS-A037-01,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,
15,A,울산울주,2025.10.15,최초,1,0-0.15,법정지목,1지역,2지역,UJS-A038,UJS-A038-01,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,
16,A,울산울주,2025.10.15,최초,1,0-0.15,법정지목,1지역,2지역,UJS-A039,UJS-A039-01,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,
17,A,울산울주,2025.10.15,최초,1,0-0.15,법정지목,1지역,2지역,UJS-A040,UJS-A040-01,,,,,,,,,,,0,,,,,,,,,,,,,,
18,A,울산울주,2025.10.15,최초,1,0-0.15,법정지목,1지역,2지역,UJS-A041,UJS-A041-01,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,
19,A,울산울주,2025.10.15,최초,1,0-0.15,법정지목,1지역,2지역,UJS-A042,UJS-A042-01,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,
20,A,울산울주,2025.10.15,최초,1,0-0.15,법정지목,1지역,2지역,UJS-A043,UJS-A043-01,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,
21,A,울산울주,2025.10.16,최초,1,0-0.15,법정지목,1지역,2지역,UJS-A045,UJS-A045-01,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,
22,A,울산울주,2025.10.16,최초,1,0-0.15,법정지목,1지역,2지역,UJS-A048,UJS-A048-01,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,
23,A,울산울주,2025.10.16,최초,1,0-0.15,법정지목,1지역,2지역,UJS-A049,UJS-A049-01,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,
24,A,울산울주,2025.10.16,최초,1,0-0.15,법정지목,1지역,1지역,UJS-A050,UJS-A050-01,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,
25,A,울산울주,2025.10.16,최초,1,0-0.15,법정지목,1지역,2지역,UJS-A051,UJS-A051-01,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,
26,A,울산울주,2025.10.16,최초,1,0-0.15,법정지목,1지역,2지역,UJS-A052,UJS-A052-01,,,,,,,,,,,0,,,,,,,,,,,,,,
27,A,울산울주,2025.10.16,최초,1,0-0.15,법정지목,1지역,3지역,UJS-A053,UJS-A053-01,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,
28,A,울산울주,2025.10.16,최초,1,0-0.15,법정지목,1지역,2지역,UJS-A054,UJS-A054-01,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,
29,A,울산울주,2025.10.16,최초,1,0-0.15,법정지목,1지역,2지역,UJS-A056,UJS-A056-01,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,
30,A,울산울주,2025.10.16,최초,1,0-0.15,법정지목,1지역,1지역,UJS-A057,UJS-A057-01,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,
31,A,울산울주,2025.10.16,최초,1,0-0.15,법정지목,1지역,1지역,UJS-A058,UJS-A058-01,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,
32,A,울산울주,2025.10.16,최초,1,0-0.15,법정지목,1지역,2지역,UJS-A059,UJS-A059-01,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,
33,A,울산울주,2025.10.16,최초,1,0-0.15,법정지목,1지역,1지역,UJS-A064,UJS-A064-01,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,
34,A,울산울주,2025.10.16,최초,1,0-0.15,법정지목,1지역,2지역,UJS-A065,UJS-A065-01,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,
35,A,울산울주,2025.10.16,최초,1,0-0.15,법정지목,1지역,2지역,UJS-A066,UJS-A066-01,0,21.5,3.37,0,36.3,0,131.5,22,,,,,,,,,,,,,,,,,
36,A,울산울주,2025.10.16,최초,1,0-0.15,법정지목,1지역,2지역,UJS-A067,UJS-A067-01,0,22.1,3.97,0,181.7,0,54,22.5,,,,,,,,,,,,,,,,,
37,A,울산울주,2025.10.16,최초,1,0-0.15,법정지목,1지역,1지역,UJS-A074,UJS-A074-01,0,25.8,0,0,124.1,0,44.6,25,,,,,,,,,,,,,,,,,
38,A,울산울주,2025.10.16,최초,1,0-0.15,법정지목,1지역,1지역,UJS-A075,UJS-A075-01,0,43,7.04,0,210.2,0,50.7,23.9,,,,,,,,,,,,,,,,,
39,A,울산울주,2025.10.16,최초,1,0-0.15,법정지목,1지역,1지역,UJS-A076,UJS-A076-01,0,14.8,0,0,23,0,33.9,16.8,,,,,,,,,,,,,,,,,
40,A,울산울주,2025.10.16,최초,1,0-0.15,법정지목,1지역,1지역,UJS-A077,UJS-A077-01,0,17.5,0,0,52.4,0,44.7,17.3,,,,,,,,,,,,,,,,,
41,A,울산울주,2025.10.16,최초,1,0-0.15,법정지목,1지역,1지역,UJS-A078,UJS-A078-01,0,61.6,6.98,0,172,0,57.1,27,,,,,,,,,,,,,,,,,
42,A,울산울주,2025.10.21,최초,1,0.15-0.3,법정지목,1지역,2지역,UJS-A002,UJS-A002-01,0,10,4.47,0,11.7,0.8,46.7,18.1,,,,,,,,,,,,,,,,,
43,A,울산울주,2025.10.21,추가,2,0.3-0.6,법정지목,1지역,2지역,UJS-A002,UJS-A002-02,0,8.4,3.16,0,11,0,41.9,19.4,,,,,,,,,,,,,,,,,
44,A,울산울주,2025.10.21,추가,3,0.6-1.0,법정지목,1지역,2지역,UJS-A002,UJS-A002-03,0,6.4,1.55,0,9.7,0,38.5,24.1,,,,,,,,,,,,,,,,,
45,A,울산울주,2025.10.21,추가,4,1.0-2.0,법정지목,1지역,2지역,UJS-A002,UJS-A002-04,0,6.7,3.76,0,8,0,42.6,24.2,,,,,,,,,,,,,,,,,
46,A,울산울주,2025.10.21,추가,5,2.0-2.5,법정지목,1지역,2지역,UJS-A002,UJS-A002-05,0,8.1,0,0,10.8,0.6,37.2,13.4,,,,,,,,,,,,,,,,,
47,A,울산울주,2025.10.21,추가,6,2.5-4.2,법정지목,1지역,2지역,UJS-A002,UJS-A002-06,0,8.6,4.44,0,12.5,0,42.6,18.6,,,,,,,,,,,,,,,,,
48,A,울산울주,2025.10.21,최초,1,0.15-0.3,법정지목,1지역,2지역,UJS-A003,UJS-A003-01,0,11.1,4.54,0,12.3,0,43.4,15.4,,,,,,,,,,,,,,,,,
49,A,울산울주,2025.10.21,최초,1,0.15-0.3,법정지목,1지역,2지역,UJS-A004,UJS-A004-01,0,15.4,0,0,17.2,0.6,63.9,14,,,,,,,,,,,,,,,,,
50,A,울산울주,2025.10.21,추가,2,0.3-0.6,법정지목,1지역,2지역,UJS-A004,UJS-A004-02,0,6.2,0,0,9.7,0,31.8,10.9,,,,,,,,,,,,,,,,,
51,A,울산울주,2025.10.21,추가,3,0.6-1.0,법정지목,1지역,2지역,UJS-A004,UJS-A004-03,0,8,0,0,10.1,0.6,38.8,15.7,,,,,,,,,,,,,,,,,
52,A,울산울주,2025.10.21,추가,4,1.0-2.0,법정지목,1지역,2지역,UJS-A004,UJS-A004-04,0,8.4,0,0,11.3,0,45.3,16.9,,,,,,,,,,,,,,,,,
53,A,울산울주,2025.10.21,추가,5,2.0-2.5,법정지목,1지역,2지역,UJS-A004,UJS-A004-05,0,9.6,3.24,0,12.7,0,47.5,16.8,,,,,,,,,,,,,,,,,
54,A,울산울주,2025.10.21,추가,6,2.5-3.0,법정지목,1지역,2지역,UJS-A004,UJS-A004-06,0,9.4,15.57,0,14.9,0,51.1,17.8,,,,,,,,,,,,,,,,,
55,A,울산울주,2025.10.21,최초,1,0.15-0.3,법정지목,1지역,2지역,UJS-A005,UJS-A005-01,0,11.2,3.35,0,10,0,48.2,16.7,,,,,,,,,,,,,,,,,
56,A,울산울주,2025.10.21,최초,1,0.15-0.3,법정지목,1지역,2지역,UJS-A006,UJS-A006-01,0,10,2.89,0,10.6,0,43.9,16.9,,,,,,,,,,,,,,,,,
57,A,울산울주,2025.10.21,최초,1,0-0.15,법정지목,1지역,2지역,UJS-A007,UJS-A007-01,0,8.9,0,0,11.3,0,47.4,22,,,,,,,,,,,,,,,,,
58,A,울산울주,2025.10.21,추가,2,0.15-0.3,법정지목,1지역,2지역,UJS-A007,UJS-A007-02,0,6.9,0,0,9.6,0,42.9,29.6,,,,,,,,,,,,,,,,,
59,A,울산울주,2025.10.21,추가,3,0.3-0.6,법정지목,1지역,2지역,UJS-A007,UJS-A007-03,0,7.3,0,0,8.5,0,43.2,26.5,,,,,,,,,,,,,,,,,
60,A,울산울주,2025.10.21,추가,4,0.6-1.0,법정지목,1지역,2지역,UJS-A007,UJS-A007-04,0,6.7,0,0,9.3,0,43.9,26.8,,,,,,,,,,,,,,,,,
61,A,울산울주,2025.10.21,추가,5,1.0-2.0,법정지목,1지역,2지역,UJS-A007,UJS-A007-05,0,11.1,4.93,0,13.1,0,49.1,21,,,,,,,,,,,,,,,,,
62,A,울산울주,2025.10.21,추가,6,2.0-2.5,법정지목,1지역,2지역,UJS-A007,UJS-A007-06,0,7.8,3.51,0,9.1,0,48.7,29.6,,,,,,,,,,,,,,,,,
63,A,울산울주,2025.10.21,최초,1,0.15-0.3,법정지목,1지역,2지역,UJS-A008,UJS-A008-01,0,15.5,7.54,0,19.8,1.4,107.6,20,,,,,,,,,,,,,,,,,
64,A,울산울주,2025.10.21,최초,1,0.15-0.3,법정지목,1지역,2지역,UJS-A009,UJS-A009-01,0,9.7,3.78,0,11.2,0,48.1,18,,,,,,,,,,,,,,,,,
65,A,울산울주,2025.10.21,추가,2,0.3-0.6,법정지목,1지역,2지역,UJS-A009,UJS-A009-02,0,8.5,0,0,10.1,0,52.7,24.8,,,,,,,,,,,,,,,,,
66,A,울산울주,2025.10.21,추가,3,0.6-1.0,법정지목,1지역,2지역,UJS-A009,UJS-A009-03,0,7.4,5.01,0,10.8,0,40.6,18.6,,,,,,,,,,,,,,,,,
67,A,울산울주,2025.10.21,추가,4,1.0-2.0,법정지목,1지역,2지역,UJS-A009,UJS-A009-04,0,8.6,3.68,0,10.8,0,45.8,20.4,,,,,,,,,,,,,,,,,
68,A,울산울주,2025.10.21,최초,1,0.15-0.3,법정지목,1지역,1지역,UJS-A010,UJS-A010-01,0,19.8,6.51,0,16.6,0,82,26.9,,,,,,,,,,,,,,,,,
69,A,울산울주,2025.10.21,최초,1,0-0.15,법정지목,1지역,2지역,UJS-A012,UJS-A012-01,0,21.1,0,0,18.4,0,66.8,38.7,,,,,,,0,0,0,0,0,,,,,,
70,A,울산울주,2025.10.21,최초,1,0-0.15,법정지목,1지역,2지역,UJS-A018,UJS-A018-01,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,
71,A,울산울주,2025.10.21,추가,2,0.15-1.0,법정지목,1지역,2지역,UJS-A018,UJS-A018-02,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,
72,A,울산울주,2025.10.21,최초,1,0-0.15,법정지목,1지역,2지역,UJS-A017,UJS-A017-01,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,
73,A,울산울주,2025.10.21,추가,2,0.15-1.0,법정지목,1지역,2지역,UJS-A017,UJS-A017-02,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,
74,A,울산울주,2025.10.21,최초,1,0-0.15,법정지목,1지역,2지역,UJS-A016,UJS-A016-01,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,
75,A,울산울주,2025.10.21,추가,2,0.15-1.0,법정지목,1지역,2지역,UJS-A016,UJS-A016-02,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,
76,A,울산울주,2025.10.21,최초,1,0.15-0.3,법정지목,1지역,2지역,UJS-A015,UJS-A015-01,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,
77,A,울산울주,2025.10.21,추가,2,0.3-1.0,법정지목,1지역,2지역,UJS-A015,UJS-A015-02,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,
78,A,울산울주,2025.10.21,추가,3,1.0-2.0,법정지목,1지역,2지역,UJS-A015,UJS-A015-03,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,
79,A,울산울주,2025.10.21,추가,4,2.0-3.0,법정지목,1지역,2지역,UJS-A015,UJS-A015-04,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,
80,A,울산울주,2025.10.21,추가,5,3.0-4.0,법정지목,1지역,2지역,UJS-A015,UJS-A015-05,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,
81,A,울산울주,2025.10.21,추가,6,4.0-5.0,법정지목,1지역,2지역,UJS-A015,UJS-A015-06,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,
82,A,울산울주,2025.10.21,추가,7,5.0-5.5,법정지목,1지역,2지역,UJS-A015,UJS-A015-07,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,
83,A,울산울주,2025.10.21,최초,1,0-0.15,법정지목,1지역,2지역,UJS-A013,UJS-A013-01,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,
84,A,울산울주,2025.10.21,최초,1,0.15-0.3,법정지목,1지역,2지역,UJS-A019,UJS-A019-01,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,
85,A,울산울주,2025.10.21,추가,2,0.3-1.0,법정지목,1지역,2지역,UJS-A019,UJS-A019-02,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,
86,A,울산울주,2025.10.21,추가,3,1.0-2.0,법정지목,1지역,2지역,UJS-A019,UJS-A019-03,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,
87,A,울산울주,2025.10.21,추가,4,2.0-3.0,법정지목,1지역,2지역,UJS-A019,UJS-A019-04,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,
88,A,울산울주,2025.10.21,추가,5,3.0-4.0,법정지목,1지역,2지역,UJS-A019,UJS-A019-05,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,
89,A,울산울주,2025.10.21,추가,6,4.0-5.0,법정지목,1지역,2지역,UJS-A019,UJS-A019-06,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,
90,A,울산울주,2025.10.21,추가,7,5.0-7.0,법정지목,1지역,2지역,UJS-A019,UJS-A019-07,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,
91,A,울산울주,2025.10.21,최초,1,0.15-0.3,법정지목,1지역,2지역,UJS-A020,UJS-A020-01,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,
92,A,울산울주,2025.10.21,추가,2,0.3-1.0,법정지목,1지역,2지역,UJS-A020,UJS-A020-02,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,
93,A,울산울주,2025.10.21,최초,1,0-0.15,법정지목,1지역,2지역,UJS-A024,UJS-A024-01,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,
94,A,울산울주,2025.10.21,추가,2,0.15-1.0,법정지목,1지역,2지역,UJS-A024,UJS-A024-02,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,
95,A,울산울주,2025.10.21,추가,3,1.0-2.0,법정지목,1지역,2지역,UJS-A024,UJS-A024-03,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,
96,A,울산울주,2025.10.21,추가,4,2.0-3.0,법정지목,1지역,2지역,UJS-A024,UJS-A024-04,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,
97,A,울산울주,2025.10.21,추가,5,3.0-3.5,법정지목,1지역,2지역,UJS-A024,UJS-A024-05,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,
98,A,울산울주,2025.10.21,최초,1,0-0.15,법정지목,1지역,2지역,UJS-A023,UJS-A023-01,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,
99,A,울산울주,2025.10.21,추가,2,0.15-1.0,법정지목,1지역,2지역,UJS-A023,UJS-A023-02,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,
100,A,울산울주,2025.10.21,추가,3,1.0-2.0,법정지목,1지역,2지역,UJS-A023,UJS-A023-03,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,
101,A,울산울주,2025.10.21,추가,4,2.0-2.5,법정지목,1지역,2지역,UJS-A023,UJS-A023-04,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,
102,A,울산울주,2025.10.21,최초,1,0-0.15,법정지목,1지역,2지역,UJS-A027,UJS-A027-01,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,
103,A,울산울주,2025.10.21,추가,2,0.15-1.0,법정지목,1지역,2지역,UJS-A027,UJS-A027-02,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,
104,A,울산울주,2025.10.21,추가,3,1.0-2.0,법정지목,1지역,2지역,UJS-A027,UJS-A027-03,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,
105,A,울산울주,2025.10.21,최초,1,0-0.15,법정지목,1지역,2지역,UJS-A035,UJS-A035-01,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,
106,A,울산울주,2025.10.21,추가,2,0.15-1.0,법정지목,1지역,2지역,UJS-A035,UJS-A035-02,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,
107,A,울산울주,2025.10.21,추가,3,1.0-2.0,법정지목,1지역,2지역,UJS-A035,UJS-A035-03,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,
108,A,울산울주,2025.10.21,추가,4,2.0-3.0,법정지목,1지역,2지역,UJS-A035,UJS-A035-04,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,
109,A,울산울주,2025.10.21,추가,5,3.0-4.0,법정지목,1지역,2지역,UJS-A035,UJS-A035-05,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,
110,A,울산울주,2025.10.21,추가,6,4.0-4.5,법정지목,1지역,2지역,UJS-A035,UJS-A035-06,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,
111,A,울산울주,2025.10.22,최초,1,0.15-0.3,법정지목,1지역,2지역,UJS-A044,UJS-A044-01,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,
112,A,울산울주,2025.10.22,최초,1,0.15-0.3,법정지목,1지역,2지역,UJS-A046,UJS-A046-01,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,
113,A,울산울주,2025.10.22,최초,1,0.15-0.3,법정지목,1지역,2지역,UJS-A047,UJS-A047-01,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,
114,A,울산울주,2025.10.22,최초,1,0.15-0.3,법정지목,1지역,1지역,UJS-A055,UJS-A055-01,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,
115,A,울산울주,2025.10.22,최초,1,0-0.15,법정지목,1지역,2지역,UJS-A061,UJS-A061-01,0,19.8,2.4,0,15.3,0,70,63.1,,,,,,,0,0,0,0,0,,,,,,
116,A,울산울주,2025.10.22,추가,2,0.15-0.3,법정지목,1지역,2지역,UJS-A061,UJS-A061-02,0,15.2,1.93,0,13,0.7,52.6,34.8,,,,,,,,,,,,,,,,,
117,A,울산울주,2025.10.22,추가,3,0.3-0.6,법정지목,1지역,2지역,UJS-A061,UJS-A061-03,0,15.4,5.15,0,13.2,0,51.5,35.4,,,,,,,,,,,,,,,,,
118,A,울산울주,2025.10.22,추가,4,0.6-1.0,법정지목,1지역,2지역,UJS-A061,UJS-A061-04,0,11.3,2.63,0,9.7,0,51.6,41.7,,,,,,,0,0,0,0,0,,,,,,
119,A,울산울주,2025.10.22,추가,5,1.0-2.0,법정지목,1지역,2지역,UJS-A061,UJS-A061-05,0,15,2.13,0,13.2,0,42.7,21.9,,,,,,,0,0,0,0,3636,,,,,,
